Title,Version,Creed
"The Nicene Creed","1662 Traditional","I believe in one God, the Father Almighty, maker of heaven and earth, and of all things visible and invisible; */n* And in one Lord Jesus Christ, the only-begotten Son of God, begotten of his Father before all worlds, God of God, Light of Light, very God of very God, begotten, not made, being of one substance with the Father; by whom all things were made; who for us men and for our salvation came down from heaven, and was incarnate by the Holy Ghost of the Virgin Mary, and was made man; and was crucified also for us under Pontius Pilate; he suffered and was buried; and the third day he rose again according to the Scriptures, and ascended into heaven, and sitteth on the right hand of the Father; and he shall come again, with glory, to judge both the quick and the dead; whose kingdom shall have no end. */n* And I believe in the Holy Ghost the Lord, and Giver of Life, who proceedeth from the Father and the Son; who with the Father and the Son together is worshiped and glorified; who spake by the Prophets. And I believe one holy Catholic and Apostolic Church; I acknowledge one Baptism for the remission of sins; and I look for the resurrection of the dead, and the life of the world to come. Amen."
"The Apostle's Creed","1662 Traditional","I believe in God, the Father almighty, maker of heaven and earth; */n* And in Jesus Christ his only Son our Lord; who was conceived by the Holy Ghost, born of the Virgin Mary, suffered under Pontius Pilate, was crucified, dead, and buried. He descended into hell. The third day he rose again from the dead. He ascended into heaven, and sitteth on the right hand of God the Father almighty. From thence he shall come to judge the quick and the dead. */n* I believe in the Holy Ghost, the holy catholic Church, the communion of saints, the forgiveness of sins, the resurrection of the body, and the life everlasting. Amen"
"The Athanasian Creed","1662 Traditional","Whosoever will be saved, before all things it is necessary that he hold the Catholic Faith. Which Faith except everyone do keep whole and undefiled, without doubt he shall perish everlastingly. */n* And the Catholic Faith is this: That we worship one God in Trinity, and Trinity in Unity, neither confounding the Persons, nor dividing the Substance. For there is one Person of the Father, another of the Son, and another of the Holy Ghost. But the Godhead of the Father, of the Son, and of the Holy Ghost, is all one, the Glory equal, the Majesty co-eternal. Such as the Father is, such is the Son, and such is the Holy Ghost. */n* The Father uncreate, the Son uncreate, and the Holy Ghost uncreate. The Father incomprehensible, the Son incomprehensible, and the Holy Ghost incomprehensible. The Father eternal, the Son eternal, and the Holy Ghost eternal. And yet they are not three eternals, but one eternal. As also there are not three incomprehensibles, nor three uncreated, but one uncreated, and one incomprehensible. So likewise the Father is Almighty, the Son Almighty, and the Holy Ghost Almighty. And yet they are not three Almighties, but one Almighty. */n* So the Father is God, the Son is God, and the Holy Ghost is God. And yet they are not three Gods, but one God. So likewise the Father is Lord, the Son Lord, and the Holy Ghost Lord. And yet not three Lords, but one Lord. For like as we are compelled by the Christian verity to acknowledge every Person by himself to be both God and Lord, So are we forbidden by the Catholic Religion, to say, There be three Gods, or three Lords. The Father is made of none, neither created, nor begotten. The Son is of the Father alone, not made, nor created, but begotten. The Holy Ghost is of the Father and of the Son, neither made, nor created, nor begotten, but proceeding. */n* So there is one Father, not three Fathers; one Son, not three Sons; one Holy Ghost, not three Holy Ghosts. And in this Trinity none is afore, or after other; none is greater, or less than another; But the whole three Persons are co-eternal together and co-equal. So that in all things, as is aforesaid, the Unity in Trinity and the Trinity in Unity is to be worshipped. He therefore that will be saved must think thus of the Trinity. */n* Furthermore, it is necessary to everlasting salvation that he also believe rightly the Incarnation of our Lord Jesus Christ. For the right Faith is, that we believe and confess, that our Lord Jesus Christ, the Son of God, is God and Man; God, of the substance of the Father, begotten before the worlds; and Man of the substance of his Mother, born in the world; Perfect God and perfect Man, of a reasonable soul and human flesh subsisting. Equal to the Father, as touching his Godhead; and inferior to the Father, as touching his manhood; Who, although he be God and Man, yet he is not two, but one Christ; One, not by conversion of the Godhead into flesh but by taking of the Manhood into God; One altogether; not by confusion of Substance, but by unity of Person. */n* For as the reasonable soul and flesh is one man, so God and Man is one Christ; Who suffered for our salvation, descended into hell, rose again the third day from the dead. He ascended into heaven, he sitteth at the right hand of the Father, God Almighty, from whence he will come to judge the quick and the dead. At whose coming all men will rise again with their bodies and shall give account for their own works. And they that have done good shall go into life everlasting; and they that have done evil into everlasting fire. */n* This is the Catholic Faith, which except a man believe faithfully, he cannot be saved."
